migrate,mean_corr
0.001,-0.006765522060281251
0.00245,-0.0032017195606846406
0.0039,0.14520131801917993
0.00535,0.2938430182087381
0.0068,0.29161179205631005
0.00825,0.44554522210511943
0.0097,0.5527569134318704
0.01115,0.5756820349193724
0.0126,0.6514906796531726
0.01405,0.6970265306024205
0.0155,0.7264062238515342
0.01695,0.7354709745851198
0.0184,0.7736304108610021
0.01985,0.7859064180381239
0.0213,0.7913435838200864
0.02275,0.8041055488913559
0.0242,0.8201182728798315
0.02565,0.8377077344229111
0.0271,0.8532331050204233
0.02855,0.8626492575913485
0.03,0.8697796329375513
